antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
Coconut Milk,Bouilon,0.07523069230419564,0.04713850629574071,0.010136824401109142,0.13474320241691845,2.858452950790539,0.006590561938294883,1.1012470475422829
Bouilon,Coconut Milk,0.04713850629574071,0.07523069230419564,0.010136824401109142,0.21504339440694312,2.858452950790539,0.006590561938294883,1.1781151991161536
Bouilon,Condensed/Evap Milk,0.04713850629574071,0.1634619755443429,0.015500704577480795,0.32883317261330763,2.011679912213614,0.007795351214169572,1.2463935795409717
Condensed/Evap Milk,Bouilon,0.1634619755443429,0.04713850629574071,0.015500704577480795,0.09482758620689656,2.011679912213614,0.007795351214169572,1.0526850787589912
Cooking Sauces,Bouilon,0.2166462111914178,0.04713850629574071,0.02213736988044911,0.10218212337389844,2.1676996452289217,0.01192499109025409,1.0613082213121057
Bouilon,Cooking Sauces,0.04713850629574071,0.2166462111914178,0.02213736988044911,0.46962391513982643,2.1676996452289217,0.01192499109025409,1.4769779618081815
Bouilon,Flour,0.04713850629574071,0.1467793990635938,0.014046093004227465,0.29797492767598843,2.0300868485426045,0.00712713137738321,1.2153705538063917
Flour,Bouilon,0.1467793990635938,0.04713850629574071,0.014046093004227465,0.09569526169092599,2.0300868485426045,0.00712713137738321,1.0536951243736485
CSD,Isotonic Drinks,0.06282103731987818,0.0637301695531615,0.015500704577480795,0.2467438494934877,3.8716961091349757,0.011497109217579472,1.242963406030289
Isotonic Drinks,CSD,0.0637301695531615,0.06282103731987818,0.015500704577480795,0.24322396576319544,3.8716961091349757,0.011497109217579472,1.2383835114774087
Coffee,Cake,0.15959816355288878,0.036865312059639076,0.014727942179189964,0.09228140131016804,2.5032041275245214,0.008844306075667403,1.0610498554623806
Cake,Coffee,0.036865312059639076,0.15959816355288878,0.014727942179189964,0.3995067817509248,2.5032041275245214,0.008844306075667403,1.39951927999714
Cereals,Liquid Milk,0.050865948452202374,0.19419064502931951,0.021000954588844947,0.4128686327077748,2.1260994969424947,0.011123263248883651,1.3724515497902459
Liquid Milk,Cereals,0.19419064502931951,0.050865948452202374,0.021000954588844947,0.10814606741573034,2.1260994969424947,0.011123263248883651,1.064225897168554
Frozen Food,Cheese,0.2205554797945361,0.049365880267284876,0.021819173598799944,0.0989282769991756,2.003980815566173,0.010931258190969307,1.055003830956801
Cheese,Frozen Food,0.049365880267284876,0.2205554797945361,0.021819173598799944,0.4419889502762431,2.003980815566173,0.010931258190969307,1.3968263183880094
Chocolate,Ice Cream,0.06786672121460066,0.08341288240374563,0.012182371925996636,0.1795043536503684,2.1519979705473866,0.006521413090195363,1.1171139318948635
Ice Cream,Chocolate,0.08341288240374563,0.06786672121460066,0.012182371925996636,0.14604904632152588,2.151997970547386,0.006521413090195363,1.0915536480990475
Chocolate,Seasoning Powder,0.06786672121460066,0.07173053320605483,0.010455020682758307,0.15405224380442065,2.1476522886270275,0.005586904583088329,1.097312995980491
Seasoning Powder,Chocolate,0.07173053320605483,0.06786672121460066,0.010455020682758307,0.14575411913814953,2.147652288627027,0.005586904583088329,1.0911767907443324
Chocolate,Snack,0.06786672121460066,0.23682894677030775,0.035319787263057414,0.520428667113195,2.197487571559151,0.019246983157049438,1.591360869374205
Snack,Chocolate,0.23682894677030775,0.06786672121460066,0.035319787263057414,0.14913627639155472,2.197487571559151,0.019246983157049438,1.0955141850827725
Coconut Milk,Condensed/Evap Milk,0.07523069230419564,0.1634619755443429,0.02936497113505159,0.3903323262839879,2.387909022781271,0.017067613549439177,1.3721213384282582
Condensed/Evap Milk,Coconut Milk,0.1634619755443429,0.07523069230419564,0.02936497113505159,0.1796440489432703,2.3879090227812707,0.017067613549439177,1.1272781120251227
Cooking Sauces,Coconut Milk,0.2166462111914178,0.07523069230419564,0.03563798354470658,0.1644985312631137,2.1865880297626816,0.019339539091695238,1.106843425534456
Coconut Milk,Cooking Sauces,0.07523069230419564,0.2166462111914178,0.03563798354470658,0.47371601208459213,2.186588029762682,0.019339539091695238,1.488462136025492
Coconut Milk,Flour,0.07523069230419564,0.1467793990635938,0.0269103141051866,0.35770392749244717,2.4370172502032657,0.01586799829763863,1.3283914341954397
Flour,Coconut Milk,0.1467793990635938,0.07523069230419564,0.0269103141051866,0.18333849489005885,2.4370172502032657,0.01586799829763863,1.1323777377890603
Coconut Milk,Fruit/Veg Juices,0.07523069230419564,0.05650256829855903,0.011318696304377472,0.15045317220543808,2.6627669632722704,0.007067968974311779,1.1105890821236735
Fruit/Veg Juices,Coconut Milk,0.05650256829855903,0.07523069230419564,0.011318696304377472,0.2003218020917136,2.6627669632722704,0.007067968974311779,1.1564268103278519
Coconut Milk,Seasoning Powder,0.07523069230419564,0.07173053320605483,0.019637256238919952,0.2610271903323263,3.6389969329029443,0.014240918566479353,1.2561618704366142
Seasoning Powder,Coconut Milk,0.07173053320605483,0.07523069230419564,0.019637256238919952,0.2737642585551331,3.6389969329029443,0.014240918566479353,1.273373444628254
Coconut Milk,Tea,0.07523069230419564,0.064139279058139,0.012727851265966634,0.1691842900302115,2.637764136339208,0.007902608898530838,1.1264359950245673
Tea,Coconut Milk,0.064139279058139,0.07523069230419564,0.012727851265966634,0.19844082211197733,2.637764136339208,0.007902608898530838,1.1537130797159858
Kaya,Coffee,0.042911041410973225,0.15959816355288878,0.015682531024137462,0.3654661016949153,2.2899142042684253,0.008834007618804174,1.3244396220468664
Coffee,Kaya,0.15959816355288878,0.042911041410973225,0.015682531024137462,0.0982626032469382,2.2899142042684253,0.008834007618804174,1.061383238662689
Tea,Coffee,0.064139279058139,0.15959816355288878,0.021182781035501613,0.33026222537207656,2.069335999988696,0.010946269886216371,1.254822212938491
Coffee,Tea,0.15959816355288878,0.064139279058139,0.021182781035501613,0.1327257191683281,2.069335999988696,0.010946269886216371,1.0790827557395317
