,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,antecedent_len
0,['Biscuits'],['Bouilon'],0.2690320358250086,0.09851877368239752,0.0347915949018257,0.1293213828425096,1.3126572531182006,1
1,['Bouilon'],['Biscuits'],0.09851877368239752,0.2690320358250086,0.0347915949018257,0.3531468531468532,1.3126572531182008,1
2,['Biscuits'],['Butter'],0.2690320358250086,0.03513606613847744,0.010334137099552188,0.0384122919334187,1.093243955712887,1
3,['Butter'],['Biscuits'],0.03513606613847744,0.2690320358250086,0.010334137099552188,0.29411764705882354,1.093243955712887,1
4,['Biscuits'],['CSD'],0.2690320358250086,0.04581467447468136,0.0165346193592835,0.06145966709346991,1.3414843125740086,1
5,['CSD'],['Biscuits'],0.04581467447468136,0.2690320358250086,0.0165346193592835,0.3609022556390977,1.3414843125740086,1
6,['Biscuits'],['Cake'],0.2690320358250086,0.03444712366517396,0.017912504305890458,0.06658130601792574,1.932855313700384,1
7,['Cake'],['Biscuits'],0.03444712366517396,0.2690320358250086,0.017912504305890458,0.5199999999999999,1.9328553137003837,1
8,['Biscuits'],['Canned Product'],0.2690320358250086,0.12228728901136755,0.04822597313124354,0.1792573623559539,1.4658707687868568,1
9,['Canned Product'],['Biscuits'],0.12228728901136755,0.2690320358250086,0.04822597313124354,0.39436619718309857,1.4658707687868566,1
10,['Biscuits'],['Cereal Beverage'],0.2690320358250086,0.04478126076472615,0.018256975542542197,0.0678617157490397,1.5154043139958633,1
11,['Cereal Beverage'],['Biscuits'],0.04478126076472615,0.2690320358250086,0.018256975542542197,0.4076923076923077,1.5154043139958633,1
12,['Biscuits'],['Cereals'],0.2690320358250086,0.04099207716155701,0.019634860489149156,0.07298335467349551,1.7804258707324156,1
13,['Cereals'],['Biscuits'],0.04099207716155701,0.2690320358250086,0.019634860489149156,0.4789915966386554,1.7804258707324156,1
14,['Chocolate'],['Biscuits'],0.040647605924905274,0.2690320358250086,0.018256975542542197,0.4491525423728813,1.669513227283578,1
