,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,antecedent_len
0,['Biscuits'],['Bouilon'],0.2984201287302516,0.07167934464599181,0.029695728496196606,0.09950980392156863,1.388263305322129,1
1,['Bouilon'],['Biscuits'],0.07167934464599181,0.2984201287302516,0.029695728496196606,0.41428571428571426,1.388263305322129,1
2,['Biscuits'],['Butter'],0.2984201287302516,0.061000585137507314,0.019163253364540667,0.06421568627450981,1.0527060704377675,1
3,['Butter'],['Biscuits'],0.061000585137507314,0.2984201287302516,0.019163253364540667,0.31414868105515587,1.0527060704377675,1
4,['Biscuits'],['CSD'],0.2984201287302516,0.06831480397893505,0.026916325336454067,0.09019607843137256,1.3203006256035605,1
5,['CSD'],['Biscuits'],0.06831480397893505,0.2984201287302516,0.026916325336454067,0.39400428265524623,1.3203006256035605,1
6,['Biscuits'],['Cake'],0.2984201287302516,0.023112931538911644,0.014189584552369808,0.04754901960784314,2.0572474559444034,1
7,['Cake'],['Biscuits'],0.023112931538911644,0.2984201287302516,0.014189584552369808,0.6139240506329114,2.0572474559444034,1
8,['Biscuits'],['Canned Product'],0.2984201287302516,0.18300175541252195,0.07241076653013458,0.2426470588235294,1.325927493299478,1
9,['Canned Product'],['Biscuits'],0.18300175541252195,0.2984201287302516,0.07241076653013458,0.39568345323741005,1.325927493299478,1
10,['Biscuits'],['Cereal Beverage'],0.2984201287302516,0.04827384435342305,0.021942656524283205,0.07352941176470588,1.523172905525847,1
11,['Cereal Beverage'],['Biscuits'],0.04827384435342305,0.2984201287302516,0.021942656524283205,0.45454545454545453,1.5231729055258467,1
12,['Biscuits'],['Cereals'],0.2984201287302516,0.05778232884727911,0.024283206553540083,0.08137254901960786,1.4082601141722515,1
13,['Cereals'],['Biscuits'],0.05778232884727911,0.2984201287302516,0.024283206553540083,0.42025316455696204,1.4082601141722513,1
14,['Biscuits'],['Cheese'],0.2984201287302516,0.05339379754242247,0.022820362785254535,0.07647058823529412,1.4321998388396455,1
15,['Cheese'],['Biscuits'],0.05339379754242247,0.2984201287302516,0.022820362785254535,0.4273972602739726,1.4321998388396455,1
16,['Chocolate'],['Biscuits'],0.054125219426565244,0.2984201287302516,0.028086600351082503,0.5189189189189188,1.738887122416534,1
17,['Biscuits'],['Chocolate'],0.2984201287302516,0.054125219426565244,0.028086600351082503,0.09411764705882353,1.738887122416534,1
18,['Biscuits'],['Coconut Milk'],0.2984201287302516,0.1211234640140433,0.045201872440023404,0.15147058823529413,1.2505470304063657,1
19,['Coconut Milk'],['Biscuits'],0.1211234640140433,0.2984201287302516,0.045201872440023404,0.37318840579710144,1.2505470304063655,1
20,['Biscuits'],['Coffee'],0.2984201287302516,0.12668227033352839,0.04871269748390872,0.16323529411764706,1.2885409591088166,1
21,['Coffee'],['Biscuits'],0.12668227033352839,0.2984201287302516,0.04871269748390872,0.38452655889145493,1.2885409591088166,1
22,['Condensed/Evap Milk'],['Biscuits'],0.22132826214160328,0.2984201287302516,0.07636044470450556,0.34500991407799075,1.156121457175071,1
23,['Biscuits'],['Condensed/Evap Milk'],0.2984201287302516,0.22132826214160328,0.07636044470450556,0.2558823529411765,1.156121457175071,1
24,['Confectionery'],['Biscuits'],0.023698069046225862,0.2984201287302516,0.012141603276770042,0.5123456790123457,1.7168603243766645,1
25,['Biscuits'],['Confectionery'],0.2984201287302516,0.023698069046225862,0.012141603276770042,0.04068627450980393,1.7168603243766647,1
26,['Biscuits'],['Cooking Oils'],0.2984201287302516,0.21825629022820361,0.07358104154476303,0.24656862745098043,1.1297206013772805,1
27,['Cooking Oils'],['Biscuits'],0.21825629022820361,0.2984201287302516,0.07358104154476303,0.33713136729222526,1.1297206013772805,1
28,['Biscuits'],['Cooking Sauces'],0.2984201287302516,0.25307197191339964,0.08703920421299005,0.2916666666666667,1.1525048169556842,1
29,['Cooking Sauces'],['Biscuits'],0.25307197191339964,0.2984201287302516,0.08703920421299005,0.3439306358381503,1.1525048169556842,1
30,['Biscuits'],['Cordials'],0.2984201287302516,0.06612053832650673,0.021942656524283205,0.07352941176470588,1.112051015096304,1
31,['Cordials'],['Biscuits'],0.06612053832650673,0.2984201287302516,0.021942656524283205,0.331858407079646,1.1120510150963039,1
32,['Cultured Milk'],['Biscuits'],0.0681685196021065,0.2984201287302516,0.028671737858396724,0.4206008583690987,1.4094252293191956,1
