antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhang
Instant Noodles,Coconut Milk,0.25614439324116745,0.12355990783410138,0.04353878648233487,0.1699775112443778,1.3756688089521671,0.0118896088612344,1.0559233081501997,0.367115403114308
Instant Noodles,Milk Powder-Kids,0.25614439324116745,0.06475614439324116,0.021889400921658985,0.08545727136431783,1.3196781890744766,0.005302477607414799,1.022635494573292,0.3256539321975563
Instant Noodles,Condensed/Evap Milk,0.25614439324116745,0.3505184331797235,0.11467933947772657,0.4477136431784108,1.2772898678023357,0.024896008091061614,1.1759869835605685,0.29184744309715877
Instant Noodles,Rice,0.25614439324116745,0.36784754224270355,0.10815092165898617,0.42222638680659663,1.1478298433974974,0.013928836145974163,1.0941179093716942,0.17313942220331008
Instant Noodles,Cordials,0.25614439324116745,0.08750960061443933,0.03043394777265745,0.11881559220389805,1.3577435089367,0.008018854220494996,1.0355271737816572,0.35421372606179835
Instant Noodles,Milk Powder-Adult,0.25614439324116745,0.06744431643625191,0.017713133640552995,0.06915292353823088,1.0253335965469224,0.00043765012942395196,1.001835540063652,0.033215670308484234
Instant Noodles,Coffee,0.25614439324116745,0.19921274961597543,0.06898041474654378,0.26930284857571213,1.351835407597406,0.017953185870255135,1.0959222282762642,0.3498864187098903
Instant Noodles,Sugar,0.25614439324116745,0.4419162826420891,0.1336405529953917,0.5217391304347826,1.1806288904211808,0.02044617491464154,1.1669023181119957,0.20567673378076062
Instant Noodles,Snack,0.25614439324116745,0.16892281105990783,0.06259600614439324,0.24437781109445278,1.446683307962387,0.01932737520086078,1.0998581052044476,0.4150855475072134
Instant Noodles,Cooking Sauces,0.25614439324116745,0.2957469278033794,0.11227918586789555,0.43834332833583206,1.482156827770176,0.03652526849275958,1.2538853497634859,0.4373262249972025
Instant Noodles,Tonic Food Drink,0.25614439324116745,0.24759984639016897,0.0834773425499232,0.3258995502248876,1.3162348643437103,0.02005603012970711,1.116154356314167,0.32298898927486686
Instant Noodles,Frozen Food,0.25614439324116745,0.15221774193548387,0.055731566820276496,0.21757871064467765,1.4293912646325841,0.01674184567167137,1.083536797372996,0.4038438193268846
Instant Noodles,Isotonic Drinks,0.25614439324116745,0.05654761904761905,0.01660906298003072,0.06484257871064467,1.1466898129882426,0.0021247074098456574,1.0088701211947706,0.17197501648756633
Instant Noodles,Chocolate,0.25614439324116745,0.03542626728110599,0.012528801843317972,0.048913043478260865,1.380699893955461,0.003454562105799655,1.0141803818301516,0.37067630356220954
Instant Noodles,CSD,0.25614439324116745,0.06230798771121352,0.019153225806451613,0.0747751124437781,1.200088707572254,0.0031933841000847084,1.013474696692924,0.22414063035751475
Instant Noodles,Cultured Milk,0.25614439324116745,0.05957181259600614,0.022321428571428572,0.087143928035982,1.4628382827119881,0.0070624427797480425,1.0302042307509158,0.4253479219056184
Instant Noodles,Margarine,0.25614439324116745,0.060387864823348694,0.022945468509984638,0.08958020989505247,1.4834140958137783,0.007477455515678348,1.0320647083784709,0.43809497065513464
Instant Noodles,Fruit/Veg Juices,0.25614439324116745,0.053955453149001534,0.020209293394777266,0.07889805097451275,1.462281314858585,0.006388906585874031,1.0270790848416942,0.4249978846736328
Instant Noodles,Seasoning Powder,0.25614439324116745,0.1788594470046083,0.05726766513056836,0.22357571214392802,1.2500078463183868,0.011453820602122224,1.0575925635489767,0.26887613643690766
Instant Noodles,Biscuits,0.25614439324116745,0.36501536098310294,0.12495199692780339,0.48781859070464767,1.3364330459704392,0.03145535876508078,1.2397651056692875,0.33842528308645103
Instant Noodles,Liquid Milk,0.25614439324116745,0.07622887864823348,0.02241743471582181,0.08751874062968515,1.148104788915366,0.0028918348470154606,1.0123727055931457,0.17341990030721463
Instant Noodles,Cake,0.25614439324116745,0.036770353302611365,0.011328725038402458,0.04422788605697151,1.2028137367347658,0.0019102052024417126,1.0078026264269149,0.22667850861457967
Instant Noodles,MSG,0.25614439324116745,0.049635176651305686,0.0198252688172043,0.07739880059970014,1.5593537853897033,0.007111496610437444,1.0300927681065677,0.4822289529376321
Instant Noodles,Cooking Oils,0.25614439324116745,0.3828725038402458,0.11957565284178187,0.4668290854572713,1.2192807808733546,0.02150500765689556,1.1574665446426884,0.24177322304540008
Instant Noodles,Drinking Water,0.25614439324116745,0.02692972350230415,0.011376728110599078,0.044415292353823084,1.6493036904007885,0.0044788304239489745,1.0182982928793303,0.5292472373434057
Instant Noodles,Eggs,0.25614439324116745,0.48099078341013823,0.14122503840245776,0.5513493253373313,1.1462783578270745,0.01802194603127412,1.1568225479212624,0.17155419507834663
Instant Noodles,Canned Product,0.25614439324116745,0.15360983102918588,0.057027649769585256,0.22263868065967016,1.4493778110944526,0.017681352804736185,1.0887989251755699,0.41681311479969196
Instant Noodles,Tea,0.25614439324116745,0.08702956989247312,0.03125,0.1220014992503748,1.4018396207301753,0.008957863625852696,1.039831422636876,0.3853592463681226
Instant Noodles,Soy Milk,0.25614439324116745,0.0398905529953917,0.012960829493087557,0.050599700149925035,1.268463241303536,0.0027430880000283153,1.011279907069994,0.2845236046578329
Instant Noodles,Bouilon,0.25614439324116745,0.0725326420890937,0.030577956989247312,0.11937781109445277,1.6458494776437063,0.011999127391157643,1.0531955356060003,0.5275365537184256
Instant Noodles,Flour,0.25614439324116745,0.2570084485407066,0.08414938556067589,0.3285232383808096,1.2782585173606698,0.018318112451362792,1.1065037450702733,0.2926450150652573
