Panel ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30
Panel 245182101,-0.0028912364960328907,0.03298338415669136,0.0384006826078872,0.011004230570917603,0.012890021270109952,0.025492870857660922,-0.03360012497574931,0.004918587026558998,0.044398137568407985,-0.02496584075343706,-0.0007626088741181707,-0.0185264463685529,0.0020141640859594355,-0.009152510121694922,-0.002016790672522258,-0.004745708035376961,-0.015549823381093395,0.023411483196310198,-0.010560282784300764,0.012085667636030327,0.0006138769281124534,0.00349644189434714,0.016289834458765123,0.014605392947005186,-0.009635642733881077,0.015343258456878093,0.00525099191162012,0.032465639183611075,-0.008630496827816355,0.002057563591778043
Panel 245191101,-0.015546554078138519,0.01498971826139241,0.013874397478967045,0.016186252922940934,-0.007943823476067887,0.018729013735180534,0.024053594382328056,-0.005744824745139976,0.0011417120415774863,0.0014377909247798046,0.015415964495531788,0.006543280623932154,-0.015137349572065034,0.018929147727793697,0.02774308003589933,-0.005999899242975289,0.035639383625924455,-0.009024298701796912,-0.0007240871099595057,0.0037212140764216702,0.034544003969752775,0.04449165961906047,-0.014311442147547145,0.03444300273587761,-0.007848142272269973,0.002857213641957498,-0.004960981116030889,0.029468729022630598,0.022011352197302877,0.007728805010755902
Panel 245196101,0.009245517612165704,0.04518766547062928,-0.044301738908123243,0.0932281343181438,0.10771136481176406,0.029727277438225605,0.02514206253917765,0.08298103309582644,0.006674098152498397,-0.016045741936956882,0.033033820089842604,0.0494016173742784,0.02018841473903246,-0.002917269947351292,0.10989041150266028,0.01990003907477509,0.04615224594232814,0.1593689909622222,0.07215386312770314,0.03914817508227547,0.032383412622165396,0.027982059711746356,0.10940396835830148,0.11373264359396548,-0.03931556944113161,0.06943069879153502,-0.0002993099875286295,-0.0029630145652576817,-0.013784579288255187,-0.03581019172339823
Panel 245197101,0.19281533383601915,-0.0731918648938006,0.24403922310428797,0.330455208814681,0.12051690255593263,0.22946811096121206,0.010780250749840094,0.16705584722917335,0.06427458666746881,0.044521013724694386,0.4010043846904156,-0.0016488367549535666,-0.02808188542673975,0.19199138970989688,0.020534332472933462,0.12350513709778532,0.13945404840705214,0.49994805639026985,0.016224372297649496,0.056612643021203196,0.4991125908914546,0.008641075006924674,-0.014925630208180465,0.1493169461766262,0.16449696599421662,0.15969372770776347,0.17787420340816457,0.09635358652444666,0.14936881326592832,0.10411515592189056
Panel 245198102,0.001575182577241731,0.12223744296437061,0.15359245175556233,0.09143991390865529,-0.0778074471050252,0.23543942417682537,0.03629698126210211,0.022631603939855797,0.16251524190361108,0.02194909354511375,0.11617323926103788,0.03562625449983414,0.20702963053990622,0.0869317550967326,-0.029772617731395994,-0.08705041497198278,0.08606032511589976,0.03747253028277947,0.22910508343643526,0.031681821688334395,0.1580935623219215,0.1734820597026762,0.14655457277795234,0.2956138029963663,0.16659223891624192,-0.07640656722760811,0.19507953800453653,0.0046271464993660845,-0.08243525533133854,-0.006597818997157276
Panel 245199102,-0.00018151384762419805,0.0002399197279287837,0.006188922465596848,0.01945771097388917,0.011697356465749726,0.015390382295800288,0.019975760365133193,-0.01879836395849476,0.0018118446038804306,0.00940658532639764,-0.004264267666659625,0.0032673112992893413,-0.002504504382687252,-0.008007374223471515,0.009289224825204178,0.0008222722841375437,-0.003576547609811111,0.010946159205246046,0.01363016401519913,-0.0022819202395704397,0.005255344349269807,0.0039219696434810505,0.011438199476964029,0.010035691853448896,0.008049089366299628,-0.004476879119615192,0.025602896348605846,0.01264654648269807,0.01445021606872075,0.00823947053427452
Panel 245201101,0.032301659062171764,-0.006412470262958703,0.0004592031340846894,0.00255996925016789,0.008670987531156986,0.008977339516533258,0.026299462500303884,-0.0033791747056417833,0.017875005641321173,0.008322170873832725,0.0001551357882979176,0.009102715433417783,-0.003944946386886654,0.016216591559097847,0.005365499524786418,0.002408063795459387,0.010783767032120195,0.010880454498689565,-0.006576856920499363,-0.015488664928366086,0.011248590135006283,-0.004471185409702165,0.011784399676207018,0.0368679488609977,0.008098796635878551,0.014707997223495336,0.013813459599166585,0.02871244877455972,0.01626876506312484,0.015130031913508826
Panel 245213105,0.20979389703035178,0.0375712299385612,0.009862563469422441,0.21145436170759974,-0.10055598397632351,0.04292937848640126,0.07127464837268659,0.07316175226592622,0.048641371966536014,0.33690911639641413,0.10044590508515408,0.05301240152183454,0.13175693315971,0.06884621565611083,0.2071055536099186,0.0918559298770914,-0.014476743680544382,0.06803145290719458,0.045933170120984176,0.051840509093124015,-0.07584515893360151,0.12380526208646736,0.11157288108351149,0.10554077199740254,0.09040605542366781,0.054633490194453405,-0.027147325464307415,0.05386497615166842,0.049254110543222866,0.15130252746837167
Panel 245217101,0.041470365453249544,0.07630331418201726,-0.06830753422591393,-0.009736783475752795,0.02340835337647672,-0.06858265314822884,0.028209289156001873,-0.05576805680592344,0.13878444958746697,0.012725842617313136,0.03376723696119355,0.014467504626614744,0.15973274269911153,0.0796204533628755,-0.058061410956823475,0.0552510793153615,-0.02507854102718183,-0.07270003573628862,0.05589790107008684,0.10419188576494344,0.006159114264084343,0.030527434759180634,-0.004416095685191137,-0.03149937783177145,0.04104445310832806,0.06359806708188605,-0.003667673657281172,0.08006456536071473,0.08034293789219556,0.059334089567588795
Panel 245222101,0.03876663452930058,-0.04435227245405148,0.07969747201352943,0.10613399939252224,0.06489701233004942,0.03028948250910937,0.04420904802657371,0.06063614818914616,0.055080752206925765,0.029054330882767997,-0.021056767221875373,-0.06174861592966437,0.057215409845096384,0.05422851421882615,-0.013196656256080238,0.0812543463374154,0.10824995476352961,0.0019363325274309425,-0.030910030928429064,0.01715667133509342,-0.001291408389229048,0.0477187952517589,0.08208299586140352,0.05370490039582914,0.02068799910093598,0.10646858043155798,-0.023980018602187934,0.0588208231588747,0.01641572459811048,0.10069281546318698
