Category,Name,Quantity,Price,Discount,OriginalPrice,PricePerVolume,OriginalPricePerVolume
Choc/Nut Spread,St. Dalfour Cranberry And Blueberry Fruit Spread,0.284,14.49,0,14.49,51,51
Choc/Nut Spread,Cadbury Cadbury Fruit & Nut Dairy Milk Chocolate Bar,0.1,6.39,0,6.39,63.9,63.9
Choc/Nut Spread,Häagen-Dazs Chocolate Choc Almond Ice Cream (3 Bars),0.24,24.81,-13,28.49,103.4,118.9
Choc/Nut Spread,SCS Spreadable Butter Blended With Canola & Olive Oil,0.25,18.3,0,18.3,73.2,73.2
Choc/Nut Spread,St. Dalfour High Fruit Content Spread Strawberry,0.284,14.49,0,14.49,51,51
Choc/Nut Spread,Bumble Bee Tuna Salad In Spicy Mayonnaise Spread,0.175,4.99,0,4.99,28.5,28.5
Choc/Nut Spread,Olive Gold Classic Spread With Cholesterol Free Olive Oil,0.5,14.75,0,14.75,29.5,29.5
Choc/Nut Spread,Chesdale Cheese Cheddar Trim Slices Spread (12 Slices),0.25,11.15,0,11.15,44.6,44.6
Choc/Nut Spread,St. Dalfour High Fruit Content Spread Fig Royale,0.284,14.49,0,14.49,51,51
Choc/Nut Spread,St. Dalfour Apple & Cinnamon High Fruit Content Spread,0.284,14.49,0,14.49,51,51
Chocolate,M&M's Milk Chocolate,0.1,4.47,-15,5.25,44.7,52.6
Chocolate,Cadbury Oreo Chocolate Coated Chocolate Bar,0.034,2.99,0,2.99,87.9,87.9
Chocolate,Oreo Chocolate Cream Flavor,0.03,5.8,-3,5.99,193.3,199.3
Chocolate,MINI OREO Chocolate Sandwich Cookies With Chocolate Flavoured Cream,0.023,1.05,0,1.05,45.7,45.7
Chocolate,Oreo Peanut Butter And Chocolate Flavored Cream Chocolate Sandwich Cookies (9 Packs),0.029,5.8,-3,5.99,200,206.2
Chocolate,KitKat Chocolate,0.035,3.59,0,3.59,102.6,102.6
Chocolate,Mars 5 Snack Thick Mlik Chocolate,0.18,8.23,-10,9.19,45.7,50.8
Chocolate,Oreo Chocolate Cream Sandwich Cookies 133G,0.133,3.29,0,3.29,24.7,24.7
Chocolate,Mars Milk Chocolate,0.053,3.59,0,3.59,67.7,67.7
Chocolate,Tesco Chocolate Limes,0.2,5.65,0,5.65,28.2,28.2
Chocolate,Pocky Chocolate Flavour,0.04,1.95,-35,2.99,48.8,75.1
Chocolate,Merba Chocolate Cookies,0.2,11.15,0,11.15,55.8,55.8
Chocolate,Delfi Chocolate Syrup,0.45,11.9,0,11.9,26.4,26.4
Chocolate,VOCHELLE Almonds Chocolate,0.205,17.39,-8,18.99,84.8,92.2
Chocolate,Milo Nuggets Chocolate,0.15,9.99,0,9.99,66.6,66.6
Chocolate,PODS Mars Chocolate,0.16,15.99,0,15.99,99.9,99.9
Chocolate,Tesco Milk Chocolate,0.165,5.87,-16,6.99,35.6,42.4
Chocolate,Twix Milk Chocolate,0.055,3.79,0,3.79,68.9,68.9
Chocolate,Cadbury Crunchie Chocolate,0.05,3.69,0,3.69,73.8,73.8
Chocolate,Choki Choki Chocolate,0.055,1.44,-20,1.79,26.2,32.8
Chocolate,VOCHELLE Tiramisu Chocolate,0.1,5.99,0,5.99,59.9,59.9
Chocolate,VOCHELLE Cranberries Chocolate,0.1,5.99,0,5.99,59.9,59.9
Chocolate,KitKat Bites Chocolate,0.2,10.24,-6,10.89,51.2,54.5
Chocolate,Tiger Chocolate Biscuits,0.18,2.8,0,2.8,15.6,15.6
Chocolate,VOCHELLE Hazelnuts Chocolate,0.18,7.29,-14,8.49,40.5,47.1
Chocolate,Milo Nuggets Chocolate,0.09,4.21,-15,4.95,46.8,55.1
Chocolate,Delfi Chocolate Syrup,0.35,11.9,0,11.9,34,34
Chocolate,Loacker Quadratini Chocolate,0.25,13.28,0,13.28,53.1,53.1
Chocolate,VOCHELLE Hazelnuts Chocolate,0.205,17.39,-8,18.99,84.8,92.2
Chocolate,Lindt Milk Chocolate,0.1,11.99,0,11.99,119.9,119.9
Chocolate,Lindt Dark Chocolate,0.1,11.99,0,11.99,119.9,119.9
Chocolate,Munchy's Lexus Choco Coated Cream Biscuits,0.2,5.03,-16,5.99,25.1,29.9
Chocolate,Oreo Vanilla Chocolate Sandwich Cookies,0.0294,5.8,-3,5.99,197.3,203.4
Chocolate,Glico Pejoy Chocolate Flavour,0.039,3.99,0,3.99,102.3,102.3
Chocolate,RINDA Butter Chocolate Toffee,0.2,2.5,0,2.5,12.5,12.5
Chocolate,Julie's Chocolate Hazelnut Wafers,0.15,5.19,-13,5.99,34.6,39.8
Chocolate,Apollo Chocolate Layer Cake,0.432,7,-12,7.99,16.2,18.4
Chocolate,KOKO Jelly Raisin Chocolate,0.38,8.99,0,8.99,23.7,23.7
Chocolate,Cadbury Dairy Milk Chocolate,0.043,5.69,0,5.69,132.3,132.3
Chocolate,Glico Pejoy Chocolate Flavour,0.126,12.95,0,12.95,102.8,102.8
Chocolate,Vochelle Almonds Chocolate 100g,0.1,5.99,0,5.99,59.9,59.9
Chocolate,Snickers Minis Original Chocolate,12.492625368731563,6.78,-9,7.45,84.7,93.1
Chocolate,Tesco Hazelnut Milk Chocolate,0.165,5.87,-16,6.99,35.6,42.4
Chocolate,Tesco Hazelnut Milk Chocolate,0.165,6.99,0,6.99,42.4,42.4
Chocolate,Kinder Joy Chocolate For Girls,0.02,4.65,0,4.65,232.5,232.5
Chocolate,Hwa Tai Luxury Chocolate,0.2,5.45,0,5.45,27.2,27.2
Chocolate,Kinder Bueno White Chocolate,11.62907268170426,3.99,0,3.99,46.4,46.4
Chocolate,Cadbury Dairy Milk Chocolate,0.04,2.99,0,2.99,74.8,74.8
Chocolate,VOCHELLE Fruit & Nut Chocolate,0.1,5.99,0,5.99,59.9,59.9
Chocolate,KitKat Green Tea Chocolate,7.354948805460751,11.72,-4,12.19,86.2,89.8
Chocolate,Cadbury Dairy Milk Chocolate,0.165,8.11,-6,8.59,49.2,52.3
Chocolate,Snickers Chocolate Caramel Nougat,0.051,4.29,0,4.29,84.1,84.1
Chocolate,Ovaltine Chocolate Malt Cookies,0.13,4.05,0,4.05,31.2,31.2
Chocolate,Lindt Swiss Classic Chocolate,0.1,12.99,0,12.99,129.9,129.9
Chocolate,Jw Chocolate & Hazelnut Breadspread,0.35,16.99,0,16.99,48.5,48.5
Chocolate,Zess Chocolate Sandwich Biscuit,0.1274,3,0,3,23.5,23.5
Chocolate,Zess Chocolate Wafer Rolls,0.7,17.99,0,17.99,25.7,25.7
Chocolate,Kinder Joy Chocolate For Boys,0.02,4.65,0,4.65,232.5,232.5
Chocolate,Nutella Chocolate And Hazelnut Spread,0.68,27.96,-20,34.95,41.1,51.4
Chocolate,VOCHELLE Fruit & Nuts Chocolate,0.18,7.29,-14,8.49,40.5,47.1
Chocolate,Nestle Milo Nuggets Chocolate,0.025,1.99,0,1.99,79.6,79.6
Chocolate,KitKat Bites Milk Chocolate,0.04,3.1,0,3.1,77.5,77.5
